,model_type,train_accuracy,cv_scores,cv_mean,cv_std
svm,svm,0.49800738007380074,[0.18671587 0.19188192 0.21180812 0.20221402 0.19261993],0.1970479704797048,0.008917377102283814
logistic_regression,logistic_regression,0.5675276752767527,[0.1904059  0.18597786 0.20885609 0.19557196 0.20147601],0.19645756457564575,0.00807637728136056
random_forest,random_forest,0.9549815498154982,[0.18671587 0.19409594 0.19557196 0.19704797 0.19630996],0.19394833948339482,0.0037457055469961686
naive_bayes,naive_bayes,0.4574169741697417,[0.18892989 0.1697417  0.2095941  0.19188192 0.19630996],0.1912915129151292,0.012887899603213621
