model_name,accuracy,precision,recall,f1_score,roc_auc,model_display_name
logistic_regression,0.20365997638724911,0.20441659192689823,0.20365997638724911,0.20395012811261934,0.5025899923095001,Logistic Regression
naive_bayes,0.20484061393152303,0.20544284752793962,0.20484061393152303,0.2040337782251249,0.498420319609355,Naive Bayes
random_forest,0.21251475796930341,0.21290253706644302,0.21251475796930341,0.21247801574787795,0.502660103294478,Random Forest
svm,0.20070838252656434,0.19801694818015753,0.20070838252656434,0.19842454676286192,0.5069427906174173,Svm
