,model_type,train_accuracy,cv_scores,cv_mean,cv_std
svm,svm,0.5357933579335793,[0.26346863 0.24870849 0.26199262 0.24280443 0.24428044],0.2522509225092251,0.008786937898826402
naive_bayes,naive_bayes,0.49874538745387453,[0.25239852 0.2597786  0.25461255 0.25092251 0.24132841],0.2518081180811808,0.006039047245897788
logistic_regression,logistic_regression,0.5948339483394834,[0.24059041 0.25387454 0.25608856 0.22878229 0.2501845 ],0.2459040590405904,0.010069406878707322
random_forest,random_forest,0.9566051660516606,[0.23837638 0.24206642 0.25313653 0.23690037 0.24870849],0.24383763837638378,0.006185188734983606
