model_name,accuracy,precision,recall,f1_score,roc_auc,model_display_name
logistic_regression,0.2597402597402597,0.25946096414250097,0.2597402597402597,0.25939165262523267,0.5095077708620378,Logistic Regression
naive_bayes,0.25914994096812277,0.25804217881576696,0.25914994096812277,0.25732429057493794,0.5049624582824731,Naive Bayes
random_forest,0.2792207792207792,0.27924155077715607,0.2792207792207792,0.2786254476920718,0.5176741893973658,Random Forest
svm,0.2579693034238489,0.06685831650866617,0.2579693034238489,0.1061941305447799,0.4915661480623015,Svm
